County,CountyCode,Year,Harvested Area (HA),Production (MT),Yields (MT/HA)
Migori,KE044,2013,"54,974","42,155",0.77
Mombasa,KE001,2013,"1,001",406,0.41
Murang'a,KE021,2013,"61,416","56,853",0.93
Elegeyo-Marakwet,KE028,2013,"32,015","1,01,336",3.17
Nakuru,KE032,2013,"90,690","2,31,412",2.55
Nandi,KE029,2013,"70,519","1,70,034",2.41
Narok,KE033,2013,"1,13,550","3,14,412",2.77
Nyamira,KE046,2013,"53,270","62,422",1.17
Nyandarua,KE018,2013,"10,490","15,683",1.5
Nyeri,KE019,2013,"61,416","48,167",0.78
Siaya,KE041,2013,"72,110","1,15,808",1.61
Tana River,KE004,2013,"8,290","9,513",1.15
Trans Nzoia,KE026,2013,"1,05,310","4,25,301",4.04
Uasin Gishu,KE027,2013,"88,790","3,63,562",4.09
Vihiga,KE038,2013,"24,195","36,241",1.5
West Pokot,KE024,2013,"19,380","54,746",2.82
Homa Bay,KE043,2013,"74,359","1,10,380",1.48
Mandera,KE009,2013,"1,987","1,325",0.67
Marsabit,KE010,2013,990,987,1
Nairobi,KE047,2013,"1,017",802,0.79
Samburu,KE025,2013,"1,265","1,649",1.3
Taita Taveta,KE006,2013,"15,592","16,699",1.07
Tharaka - Nithi,KE013,2013,"30,026","24,515",0.82
Turkana,KE023,2013,"1,626","3,041",1.87
Wajir,KE008,2013,550,375,0.68
Elegeyo-Marakwet,KE028,2014,"27,620","1,03,448",3.75
Baringo,KE030,2014,"34,960","34,959",1
Bomet,KE036,2014,"30,940","53,162",1.72
Bungoma,KE039,2014,"98,074","2,67,302",2.73
Busia,KE040,2014,"50,400","72,662",1.44
Embu,KE014,2014,"26,720","26,611",1
Garissa,KE007,2014,245,199,0.81
Isiolo,KE011,2014,"1,385",657,0.47
Kajiado,KE034,2014,"31,020","73,396",2.37
Kakamega,KE037,2014,"70,993","1,82,397",2.57
Kericho,KE035,2014,"41,041","68,913",1.68
Kiambu,KE022,2014,"24,450","7,384",0.3
Kilifi,KE003,2014,653,300,0.46
Kirinyaga,KE020,2014,"32,992","37,183",1.13
Kisii,KE045,2014,"62,210","1,19,703",1.92
Kisumu,KE042,2014,"27,150","54,651",2.01
Kitui,KE015,2014,"84,763","30,585",0.36
Kwale,KE002,2014,"34,644","31,473",0.91
Laikipia,KE031,2014,"6,175","6,471",1.05
Lamu,KE005,2014,"35,261","35,550",1.01
Machakos,KE016,2014,"1,39,090","62,477",0.45
Makueni,KE017,2014,"1,81,089","77,440",0.43
Meru,KE012,2014,"1,10,489","1,11,955",1.01
Migori,KE044,2014,"67,485","83,703",1.24
Mombasa,KE001,2014,653,338,0.52
Murang'a,KE021,2014,"61,543","52,266",0.85
Nakuru,KE032,2014,"86,504","1,58,914",1.84
Nandi,KE029,2014,"74,045","1,67,219",2.26
Narok,KE033,2014,"1,12,079","2,67,769",2.39
Nyamira,KE046,2014,"35,549","41,115",1.16
Nyandarua,KE018,2014,"10,366","13,103",1.26
Nyeri,KE019,2014,"61,543","44,281",0.72
Siaya,KE041,2014,"78,132","1,23,562",1.58
Tana River,KE004,2014,"9,582","11,390",1.19
Trans Nzoia,KE026,2014,"1,06,778","4,51,348",4.23
Uasin Gishu,KE027,2014,"96,654","3,80,227",3.93
Vihiga,KE038,2014,"23,772","36,605",1.54
West Pokot,KE024,2014,"19,748","46,341",2.35
Homa Bay,KE043,2014,"79,667","1,24,465",1.56
Mandera,KE009,2014,"2,682","1,609",0.6
Marsabit,KE010,2014,"1,571","1,582",1.01
Nairobi,KE047,2014,913,740,0.81
Samburu,KE025,2014,"1,973","2,064",1.05
Taita Taveta,KE006,2014,653,823,1.26
Tharaka - Nithi,KE013,2014,"29,916","25,471",0.85
Turkana,KE023,2014,"1,310","2,154",1.64
Wajir,KE008,2014,660,112,0.17
Elegeyo-Marakwet,KE028,2015,"33,598","78,020",2.32
Baringo,KE030,2015,"44,159","83,313",1.89
Bomet,KE036,2015,"35,727","38,720",1.08
Bungoma,KE039,2015,"97,397","2,60,266",2.67
Busia,KE040,2015,"50,781","86,526",1.7
Embu,KE014,2015,"38,699","49,156",1.27
Garissa,KE007,2015,248,216,0.87
Isiolo,KE011,2015,"1,017","1,231",1.21
Kajiado,KE034,2015,"38,055","20,004",0.53
Kakamega,KE037,2015,"78,271","2,24,225",2.86
Kericho,KE035,2015,"39,602","85,698",2.16
Kiambu,KE022,2015,"33,357","58,260",1.75
Kilifi,KE003,2015,"88,592","1,03,830",1.17
Kirinyaga,KE020,2015,"38,181","58,896",1.54
Kisii,KE045,2015,"76,160","1,00,231",1.32
Kisumu,KE042,2015,"34,564","41,699",1.21
Kitui,KE015,2015,"88,840","48,470",0.55
Kwale,KE002,2015,"62,675","77,693",1.24
Laikipia,KE031,2015,"30,616","42,554",1.39
Lamu,KE005,2015,"21,606","46,129",2.14
Machakos,KE016,2015,"1,25,652","1,21,682",0.97
Makueni,KE017,2015,"1,29,854","1,31,812",1.02
Meru,KE012,2015,"91,106","1,06,046",1.16
Migori,KE044,2015,"65,583","1,49,296",2.28
Mombasa,KE001,2015,672,522,0.78
Murang'a,KE021,2015,"64,484","71,149",1.1
Nakuru,KE032,2015,"73,191","1,14,687",1.57
Nandi,KE029,2015,"67,593","1,89,229",2.8
Narok,KE033,2015,"1,24,999","2,01,348",1.61
Nyamira,KE046,2015,"40,989","61,547",1.5
Nyandarua,KE018,2015,"17,537","26,035",1.48
Nyeri,KE019,2015,"29,054","38,404",1.32
Siaya,KE041,2015,"79,036","1,29,139",1.63
Homa Bay,KE043,2015,"83,900","1,37,958",1.64
Tana River,KE004,2015,"4,598","5,408",1.18
Trans Nzoia,KE026,2015,"1,06,800","4,13,415",3.87
Uasin Gishu,KE027,2015,"1,04,078","4,05,121",3.89
Vihiga,KE038,2015,"35,105","43,927",1.25
West Pokot,KE024,2015,"33,124","60,251",1.82
Mandera,KE009,2015,788,278,0.35
Marsabit,KE010,2015,631,646,1.02
Nairobi,KE047,2015,919,"1,157",1.26
Samburu,KE025,2015,"3,780",724,0.19
Taita Taveta,KE006,2015,"16,623","12,292",0.74
Tharaka - Nithi,KE013,2015,"30,985","42,938",1.39
Turkana,KE023,2015,"3,842","2,428",0.63
Wajir,KE008,2015,84,38,0.45
Elegeyo-Marakwet,KE028,2016,"33,315","75,005",2.25
Homa Bay,KE043,2016,"61,940","71,446",1.15
Baringo,KE030,2016,"33,163","72,495",2.19
Bomet,KE036,2016,"32,275","45,517",1.41
Bungoma,KE039,2016,"1,00,712","3,01,068",2.99
Busia,KE040,2016,"38,441","36,631",0.95
Embu,KE014,2016,"24,686","16,104",0.65
Garissa,KE007,2016,167,152,0.91
Isiolo,KE011,2016,708,475,0.67
Kajiado,KE034,2016,"32,682","11,016",0.34
Kakamega,KE037,2016,"78,344","1,72,350",2.2
Kericho,KE035,2016,"38,086","91,832",2.41
Kiambu,KE022,2016,"39,670","55,837",1.41
Kilifi,KE003,2016,"66,396","28,114",0.42
Kirinyaga,KE020,2016,"34,776","30,168",0.87
Kisii,KE045,2016,"73,253","96,054",1.31
Kisumu,KE042,2016,"52,074","20,605",0.4
Kitui,KE015,2016,"87,751","7,433",0.08
Kwale,KE002,2016,"59,978","20,170",0.34
Laikipia,KE031,2016,"2,73,056","46,655",0.17
Lamu,KE005,2016,"17,020","17,973",1.06
Machakos,KE016,2016,"86,252","76,144",0.88
Makueni,KE017,2016,"1,32,320","73,384",0.55
Meru,KE012,2016,"79,798","89,570",1.12
Migori,KE044,2016,"37,989","35,200",0.93
Mombasa,KE001,2016,860,86,0.1
Murang'a,KE021,2016,"64,746","48,054",0.74
Nakuru,KE032,2016,"88,021","2,07,404",2.36
Nandi,KE029,2016,"69,933","2,04,437",2.92
Narok,KE033,2016,"1,03,500","2,42,735",2.35
Nyamira,KE046,2016,"41,689","55,492",1.33
Nyandarua,KE018,2016,"16,290","20,484",1.26
Nyeri,KE019,2016,"23,039","12,508",0.54
Siaya,KE041,2016,"71,410","60,496",0.85
Tana River,KE004,2016,"6,122","8,739",1.43
Trans Nzoia,KE026,2016,"1,06,303","4,06,434",3.82
Uasin Gishu,KE027,2016,"1,02,753","4,05,440",3.95
Vihiga,KE038,2016,"35,783","50,289",1.41
West Pokot,KE024,2016,"29,143","69,151",2.37
Mandera,KE009,2016,780,380,0.49
Marsabit,KE010,2016,537,282,0.53
Nairobi,KE047,2016,954,"1,049",1.1
Samburu,KE025,2016,"7,391","15,750",2.13
Taita Taveta,KE006,2016,"16,508","9,519",0.58
Tharaka - Nithi,KE013,2016,"31,010","21,964",0.71
Turkana,KE023,2016,"5,962","7,091",1.19
